"fault_code","vendor_explanation","vendor_recommended_action"
"F1111","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1110","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1121","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1123","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1125","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1126","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1127","The object refers to an object that was not found","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1128","The object refers to an object that was not found.","Make sure that referenced object exists and the name is spelled correctly in the relation object. "
"F1339","This fault occurs when Subject has a label but no EPg associating to a contract uses a label.","Look at configIssues Verify the configuration is correct / complete If the above action did not resolve the issue,contact Cisco TAC. "
"F1240","This fault occurs when vzTaboo is incompletely / incorrectly configured.","Look at configIssues Verify the configuration is correct / complete If the above action did not resolve the issue,contact Cisco TAC. "
"F0188","This fault occurs when a non-spine node is marked as a bgp route reflector","If you see this fault,check remove the RRNodePEp policy and choose another node,which is a spine"
"F1215","This fault occurs when the accepted prefixes from the peer is greater than the configured limit","Look at any configuration issues Verify the configuration is correct/complete Reduce the number of prefixes exported into bgp If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0299","This fault occurs when the peer state is not established","Look at any configuration issues Verify the configuration is correct/complete Check network connectivity to the peer If the above actions did not resolve the issue,generate the show tech-support file and contact Cisco TAC. "
"F0106","","Check the cable and make sure it is connected to the correct neighbor switch"
"F671798","This fault is raised FSM for Controller Add operation fails","Check if there are repeated failures of any FSM stage Perform the suggested Actions to correct stage failures If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F671803","This fault is raised FSM for Controller Remove operation fails.","Check if there are any FSM stage failures Perform the suggested Actions to correct stage failures If the above actions did not resolve the issue,collect tech-support file and contact Cisco TAC. "
"F16438","This fault is raised when Get Controller Time Stage fails","Please collect tech-support file and contact Cisco TAC"
"F1445","This fault occurs when significant number of packet drops are detected by atomic counters","If you see this fault,check the network configuration in the packet path where this Atomic counter policy is configured "
"F1446","This fault occurs when small number of packet drops are detected by atomic counters","If you see this fault,check the network configuration in the packet path where this Atomic counter policy is configured"
"F1447","This fault occurs when significant number of excess packets are detected by atomic counters","If you see this fault,check the network configuration in the packet path where this Atomic counter policy is configured"
"F1448","This fault occurs when small number of excess packets are detected by atomic counters","If you see this fault,check the network configuration in the packet path where this Atomic counter policy is configured "
"F1451","This fault occurs when psu is shut down","Connect a power supply to this PSU If the above actions did not resolve the issue,create a show tech-support file and contact Cisco TAC "
